"nTrabLabel","media2"
"três ou menos",8.17204301075269
"três ou menos",3.44086021505376
"cinco",15.0537634408602
"três ou menos",7.74193548387097
"três ou menos",7.09677419354839
"três ou menos",4.08602150537634
"três ou menos",0
"três ou menos",6.66666666666667
"cinco",19.3548387096774
"quatro",9.03225806451613
"quatro",10.1075268817204
"quatro",8.81720430107527
"três ou menos",4.94623655913979
"três ou menos",3.2258064516129
"três ou menos",1.93548387096774
"cinco",10.1075268817204
"cinco",8.17204301075269
"cinco",11.8279569892473
"três ou menos",2.36559139784946
"três ou menos",0.645161290322581
"cinco",17.2043010752688
"quatro",8.60215053763441
"cinco",14.6236559139785
"cinco",6.23655913978495
"cinco",7.95698924731183
"cinco",17.2043010752688
"quatro",0.860215053763441
"cinco",16.5591397849462
"cinco",20
"quatro",17.2043010752688
"cinco",12.0430107526882
"três ou menos",6.23655913978495
"cinco",19.7849462365591
"quatro",13.9784946236559
"três ou menos",0.21505376344086
"três ou menos",8.17204301075269
"cinco",8.81720430107527
"quatro",13.1182795698925
"cinco",14.1935483870968
"cinco",8.17204301075269
"cinco",9.46236559139785
"cinco",14.6236559139785
"quatro",11.3978494623656
"cinco",18.9247311827957
"quatro",4.51612903225806
"três ou menos",6.02150537634409
"cinco",11.6129032258065
"cinco",18.2795698924731
"quatro",8.60215053763441
"cinco",10.1075268817204
"quatro",10.752688172043
"cinco",12.9032258064516
"cinco",11.1827956989247
"cinco",9.89247311827957
"três ou menos",8.81720430107527
"cinco",19.3548387096774
"quatro",13.1182795698925
