"self_male","partner_female"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","azul"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","castanho"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"azul","verde"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","azul"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","castanho"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"castanho","verde"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","azul"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","castanho"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
"verde","verde"
